Nom de l’entreprise	Activité	CA 2012	CA 2013
STE NAT CELLULOSE PAPIER ALFA	Industrie/Commerce	33446	30996
LA PAIX (1)	Tourisme /Loisirs	28344	30827
STE FABRICATION BOISSONS TUNISIE DISTRIBUTION - STPP (2)	I.A.A	30300	30824
STE DETERGENTS DE TUNISIE- SODET	Chimie	25515	30170
ETABLISSEMENT ZOUARI (18)	Commerce	17500	30000
MAGHREB REVETEMENT	BTP	22400	29700
STE SOGES (8)	Tourisme	37043	29142
ARGANIA (16)	Ind/Cosmétique	24441	28886
SOCOBAT	BTP	23071	28690
CHRISTINE CONFECTION	Textile	22299	27896
PORTA (19)	Industrie	28648	27804
STE IND PLATRE SUD - SIPS (15)	M.C.C.V	12935	27685
ASSURANCE HAYETT	Assurances	27178	27553
CAIR TUNISIE	Ind/Pharmaceutique	27194	27461
SOTEFI	Ind/Papier	30549	27313
STE IND PARFUMERIE PRODUITS COSMETIQUES- SATEM	Industrie/Cosmétique	28474	27170
CARTE VIE	Assurances	27177	27127
MODERNE CONFECTION	Textile	27000	27000
NOUVELLE SOTIM (13)	I.A.A	25350	26605
STE NAT TRANSPORT INTERURBAIN- SNTRI	Transport terrestre	29978	26372
AGRI BUSINESS COMPANY- ABCO SIDI DAOUD	I.A.A	31451	26348
STE ENGRAIS PDS CHIMIQUE MEGRINE	Chimie	23719	26033
GROUPE MAGHREB MANAGEMENT INDUSTRIE	Industrie	25535	24793
ONE TECH MOBILE (10)	I.E.E	12090	24790
STE REGIONALE TRANSPORT NABEUL	Transport terrestre	26090	24600
INDUS APPAREILLAGE MATERIELS ELECTRIQUES	I.E.E	19261	24399
STE TNNE EXPLOSIFS ET MUNITIONS	Industrie	19666	24367
FATALES (16)	Cosmétique	21035	24250
ROTOPACK (19)	Emballage	26549	23864
ETANCHEITE TUNISIENNE (14)	Industrie/Chimie		23761
GENERALE CONFORT ELECTRONABLI	Commerce/Distribution	24398	23660
IMPRIMERIE OFFICIELLE REPUBLIQUE TNNE	Imprimerie	23362	23651
STE INDUSTRIELLE AMORTISSEURS - SIA	Industrie/Auto	20805	23458
DEMCO KNITWEAR	Textile	17117	23441
STE TNNE LUBRIFIANTS- SOTULUB	Pétrole/Dérivés	21026	23423
