Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
148	SAYARA	Commerce	48000	53000
149	TUNISIE LEASING	Leasing	47788	52691
150	IGL DISTRIBUTION (20)	I.E.E	56948	51394
151	CSM GIAS (10)	I.A.A	47997	51183
152	STE COMMERCE INTERNATIONAL TUNISIE- SCIT	Négoce	46600	51000
153	SORIMEX	Commerce/I.A.A	42065	50740
154	ASSURANCES SALIM	Assurances	43108	50125
155	LABORATOIRES TERIAK (16)	Ind/Pharmaceutique	46766	50026
156	MEDITTERRANEAN FOOD INDUSTRY- MFI	I.A.A	43000	50000
157	UNIPACK (1)	Emballage	57769	48555
158	STE INVESTISSEMENTS HOTELIERS EL MOURADI (11)	Tourisme	42576	48420
159	COGITEL	Emballage	47852	47186
160	WASHING INTERNATIONAL COMPANY- WIC	Textile	49000	46541
161	MATERIEL INDUSTRIE BUREAUTIQUE-MIB (10)	Commerce	46428	45925
162	COMPTOIR NATIONAL TUNISIEN	Commerce	41820	45644
163	STE TNNE MINOTERIE SEMOULERIE- SOTUMIS	I.A.A	43728	45614
164	CENTRALE LAITIERE SIDI BOUZID (5)	I.A.A		45526
165	ASSAD INTERNATIONAL	Commerce	35000	45300
166	STE TUNISIENNE VERRIERE - SOTUVER	M.C.C.V	40648	45156
167	STE BENETTON MANUFACTURING TUNISIA	Textile	54547	44538
168	STE TUNISIENNE EQUIPEMENT- STEQ	Commerce	39385	44245
169	SERGAZ	Energie/Transport	48370	43194
170	SUPER MOUSSE	Industrie	44909	42506
171	ARGANIA (16)	Ind/ Cosmétique	28886	42310
172	STE NOUVELLE ACCUMULATEUR NOUR- SNA	Industrie	8384	42004
173	CELLCOM	TIC	31846	42000
174	TELNET	TIC	40389	41887
175	LA PAIX (1)	Tourisme/ Loisirs	30827	41872
176	STE BOISSON CAP BON- SBC (5)	I.A.A	48220	41747
177	SOTETEL	Télécommunications	39724	41145
178	COMPTOIR NATIONAL PLASTIQUE- CNP	Chimie	34480	40640
179	ATTIJARI ASSURANCES	Assurances	16294	40419
180	ASSURRANCES MAGHREBIA VIE (12)	Assurances	36902	40189
181	STE TNNE BOISSONS OUEST - STBO (2)	I.A.A	36413	40086
182	STRAMIFLEX	Ind/Bois	37665	40000
183	ESPRIT	Enseignement supérieur		40000
184	STE INDUS PHARMACEUTIQUES TUNISIE- SIPHAT	Ind/Pharmaceutique	43332	39991
185	LES IND ALIMENTAIRES RANDA (8)	I.A.A	55302	39871
186	CONFECTION RAS JEBEL	Textile	42701	39280
187	INTEGRA PARTNERS	Finances	36931	39116
188	SOTEME (14)	Commerce	40400	39000
189	STE PROD VIANDES AVICOLES MOKNINE- SOPROVAM	I.A.A	40013	38859
190	ATTIJARI LEASING	Leasing		38701
191	STE TNNE BOISSONS DU NORD - STBN (2)	I.A.A	39043	38655
192	STE NOUVELLE BOISSONS - SNB (2)	I.A.A	40110	38454
193	GIAS INDUSTRIE (10)	I.A.A	36388	38420
194	ARAB TUNISIAN LEASE-ATL	Leasing	36200	37711
195	STE TNNE ENTREPRISES ET VENTES - SOTEV (2)	I.A.A	37891	37636
196	TUNISAVIA	Transport aérien	31718	37272
197	BRASLAM (10)	I.A.A	54195	36793
198	SOTEFI	Ind/Papier	35627	36601
199	COMPAGNIE INTER LEASING-CIL	Leasing		36391
200	SEREPT	Energie/Transport	32816	36155
201	STE REGIONALE TRANSPORT BIZERTE	Transport terrestre	30426	35595
202	MANUFACTURE PANNEAUX BOIS DU SUD	Ind/Bois	32204	35415
203	STE FABRIC. BOISSONS TSIE DISTRIBUTION - STPP (2)	I.A.A	30824	35323
204	ATELIERS MECANIQUES SAHEL	I.M.M	33595	34971
205	STE DETERGENTS TUNISIE- SODET	Chimie	30170	34909
206	LA PREFORME (2)	Emballage	22061	34328
207	SERVITRA	Télécommunications	20562	34043
208	CAISSE PRETS SOUTIEN COLLECTIVITES LOCALES	Services	35089	33852
209	STE DISTRIBUTION BOISSONS (2)	I.A.A	47480	33822
210	STE IND PLATRE SUD -SIPS  (17)	M.C.C.V	27685	33700
211	HHW SA- HAIER (8)	Commerce/Distribution	21699	33395
212	PROTEINES VITAMINEES ALIMENTAIRES- PROVITAL	I.A.A	32500	33000
213	STE TNNE EMAIL- SOTEMAIL (13)	M.C.C.V	18293	32397
214	SOCIETE ERRAFAHA (2)	Commerce	38725	32368
215	CIE GLE DES SALINES TUNISIE	Sel marin	29461	32247
